"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_169"|"birthdate"|"Individual characteristic"|"patient characteristic"|"A_c8"|"HL7"|"3.0"|"00110"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_262"|"Encounter Health and Behavior Assessment"|"Encounter"|"encounter"|"A_c105"|"CPT"|"2010"|"96150, 96152"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_256"|"Encounter Occupational Therapy"|"Encounter"|"encounter"|"A_c102"|"CPT"|"2010"|"97003, 97004"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_291"|"Encounter Office Visit"|"Encounter"|"encounter"|"A_c114"|"CPT"|"2010"|"99201, 99202, 99203, 99204, 99205, 99212, 99213, 99214, 99215"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_260"|"Encounter Prev Med Group Counseling"|"Encounter"|"encounter"|"A_c107"|"CPT"|"2010"|"99411, 99412"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_261"|"Encounter Prev Med Other Services"|"Encounter"|"encounter"|"A_c108"|"CPT"|"2010"|"99420, 99429"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_258"|"Encounter Prev Med Services 18 and Older"|"Encounter"|"encounter"|"A_c104"|"CPT"|"2010"|"99385, 99386, 99387, 99395, 99396, 99397"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_259"|"Encounter Prev Med-Individual counseling"|"Encounter"|"encounter"|"A_c106"|"CPT"|"2010"|"99401, 99402, 99403, 99404"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_257"|"Encounter Psychiatric & Psychologic"|"Encounter"|"encounter"|"A_c103"|"CPT"|"2010"|"90801, 90802, 90804, 90805, 90806, 90807, 90808, 90809, 90810, 90811, 90812, 90813, 90814, 90815, 90845, 90862"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_1394"|"Measurement enddate"|"Measure timing"|"end: 12/31/yyyy 23:59:59 (prompt for year)"|"A_c130"||||
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_1395"|"Measurement period"|"Measure timing"|"start of timing window"|"A_c131"||||
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_1564"|"Tobacco Non-User"|"Individual characteristic"|"patient characteristic"|"A_c511"|"SNOMED-CT"|"07/09"|"105539002, 105540000, 105541001, 160618006, 160620009, 160621008, 228501004, 228502006, 228503001, 228512004, 266919005, 266921000, 266922007, 266923002, 266924008, 266925009, 266928006, 26921000, 281018007, 360890004, 360900008, 360918006, 360929005, 405746006, 53896009, 8392000, 8517006, 87739003"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_1565"|"Tobacco Non-User"|"Individual characteristic"|"patient characteristic"|"A_c511"|"SNOMED-CT"|"07/09"|"105539002, 105540000, 105541001, 160618006, 160620009, 160621008, 228501004, 228502006, 228503001, 228512004, 266919005, 266921000, 266922007, 266923002, 266924008, 266925009, 266928006, 26921000, 281018007, 360890004, 360900008, 360918006, 360929005, 405746006, 53896009, 8392000, 8517006, 87739003"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_1566"|"Tobacco Non-User"|"Individual characteristic"|"patient characteristic"|"A_c511"|"SNOMED-CT"|"07/09"|"105539002, 105540000, 105541001, 160618006, 160620009, 160621008, 228501004, 228502006, 228503001, 228512004, 266919005, 266921000, 266922007, 266923002, 266924008, 266925009, 266928006, 26921000, 281018007, 360890004, 360900008, 360918006, 360929005, 405746006, 53896009, 8392000, 8517006, 87739003"|"datetime"
"0028-a"|"Preventive Care and Screening Measure Pair:  a. Tobacco Use Assessment"|"A_1567"|"Tobacco Non-User"|"Individual characteristic"|"patient characteristic"|"A_c511"|"SNOMED-CT"|"07/09"|"105539002, 105540000, 105541001, 160618006, 160620009, 160621008, 228501004, 228502006, 228503001, 228512004, 266919005, 266921000, 266922007, 266923002, 266924008, 266925009, 266928006, 26921000, 281018007, 360890004, 360900008, 360918006, 360929005, 405746006, 53896009, 8392000, 8517006, 87739003"|"datetime"
