"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1389"|"birthdate"|"Individual characteristic"|"patient characteristic"|"A_c8"|"HL7"|"3.0"|"00110"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1396"|"Encounter Health and Behavior Assessment"|"Encounter"|"encounter"|"A_c105"|"CPT"|"2010"|"96150, 96152"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1397"|"Encounter Occupational Therapy"|"Encounter"|"encounter"|"A_c102"|"CPT"|"2010"|"97003, 97004"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1398"|"Encounter Office Visit"|"Encounter"|"encounter"|"A_c114"|"CPT"|"2010"|"99201, 99202, 99203, 99204, 99205, 99212, 99213, 99214, 99215"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1403"|"Encounter Prev Med Group Counseling"|"Encounter"|"encounter"|"A_c107"|"CPT"|"2010"|"99411, 99412"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1400"|"Encounter Prev Med Other Services"|"Encounter"|"encounter"|"A_c108"|"CPT"|"2010"|"99420, 99429"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1399"|"Encounter Prev Med Services 18 and Older"|"Encounter"|"encounter"|"A_c104"|"CPT"|"2010"|"99385, 99386, 99387, 99395, 99396, 99397"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1401"|"Encounter Prev Med-Individual counseling"|"Encounter"|"encounter"|"A_c106"|"CPT"|"2010"|"99401, 99402, 99403, 99404"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1402"|"Encounter Psychiatric & Psychologic"|"Encounter"|"encounter"|"A_c103"|"CPT"|"2010"|"90801, 90802, 90804, 90805, 90806, 90807, 90808, 90809, 90810, 90811, 90812, 90813, 90814, 90815, 90845, 90862"|"datetime"
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1392"|"Measurement enddate"|"Measure timing"|"end: 12/31/yyyy 23:59:59 (prompt for year)"|"A_c130"||||
"0028-b"|"Preventive Care and Screening  Measure pair:  b. Tobacco Cessation Intervention"|"A_1393"|"Measurement period"|"Measure timing"|"start of timing window"|"A_c131"||||
