"NQF_id"|"measure_name"|"QDS_id"|"standard_concept"|"standard_category"|"QDS_data_type"|"standard_concept_id"|"standard_taxonomy"|"standard_taxonomy_version"|"standard_code_list"|"QDS_datatype_specific_attributes"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_135"|"birthdate"|"Individual characteristic"|"patient characteristic"|"A_c8"|"HL7"|"3.0"|"00110"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1379"|"Cardiac Surgery"|"Procedure"|"procedure performed"|"A_c169"|"CPT"|"2010"|"33140, 33510, 33511, 33512, 33513, 33514, 33516, 33517, 33518, 33519, 33521, 33522, 33523, 33533, 33534, 33535, 33536, 92980, 92981, 92982, 92984, 92995, 92996"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_418"|"Cardiac Surgery"|"Procedure"|"procedure performed"|"A_c169"|"CPT"|"2010"|"33140, 33510, 33511, 33512, 33513, 33514, 33516, 33517, 33518, 33519, 33521, 33522, 33523, 33533, 33534, 33535, 33536, 92980, 92981, 92982, 92984, 92995, 92996"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1270"|"Cardiac Surgery"|"Procedure"|"procedure performed"|"A_c371"|"GROUPING"||"A_c168, A_c169"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1378"|"Cardiac Surgery"|"Procedure"|"procedure performed"|"A_c371"|"GROUPING"||"A_c168, A_c169"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1380"|"Cardiac Surgery"|"Procedure"|"procedure performed"|"A_c168"|"SNOMED-CT"|"July 2009"|"10326007, 119564002, 119565001, 15256002, 174911007, 175007008, 175008003, 175009006, 175011002, 175012009, 175014005, 175019000, 175021005, 175022003, 175024002, 175025001, 175026000, 175029007, 175030002, 175031003, 175032005, 175033000, 175036008, 175037004, 175038009, 175039001, 175040004, 175041000, 175045009, 175047001, 175048006, 175050003, 175053001, 175058005, 175084004, 175088001, 232717009, 232719007, 232720001, 232721002, 232722009, 232723004, 232724005, 265481001, 275215001, 275216000, 275227003, 275252001, 275253006, 287277008, 30670000, 309814006, 3546002, 359597003, 359601003, 39202005, 39724006, 414088005, 48431000, 74371005, 81266008, 82247006, 90205004"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_419"|"Cardiac Surgery"|"Procedure"|"procedure performed"|"A_c168"|"SNOMED-CT"|"July 2009"|"10326007, 119564002, 119565001, 15256002, 174911007, 175007008, 175008003, 175009006, 175011002, 175012009, 175014005, 175019000, 175021005, 175022003, 175024002, 175025001, 175026000, 175029007, 175030002, 175031003, 175032005, 175033000, 175036008, 175037004, 175038009, 175039001, 175040004, 175041000, 175045009, 175047001, 175048006, 175050003, 175053001, 175058005, 175084004, 175088001, 232717009, 232719007, 232720001, 232721002, 232722009, 232723004, 232724005, 265481001, 275215001, 275216000, 275227003, 275252001, 275253006, 287277008, 30670000, 309814006, 3546002, 359597003, 359601003, 39202005, 39724006, 414088005, 48431000, 74371005, 81266008, 82247006, 90205004"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1271"|"Coronary Artery Disease includes MI"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c365"|"GROUPING"||"A_c122, A_c123, A_c124"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1272"|"Coronary Artery Disease includes MI"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c365"|"GROUPING"||"A_c122, A_c123, A_c124"|"datetime"
"0074"|"Coronary Artery Disease (CAD): Drug Therapy for Lowering LDL-Cholesterol"|"A_1092"|"Coronary Artery Disease includes MI"|"Diagnosis / Condition / Problem"|"diagnosis active"|"A_c123"|"ICD-10-CM"|"2010"|"I20.1, I20.9, I21, I21.0, I21.01, I21.02, I21.09, I21.11, I21.19, I21.2, I21.29, I21.3, I21.4, I22, I22.0, I22.1, I22.2, I22.8, I22.9, I24, I24.1, I24.9, I25.1, I25.2, I25.70, I25.71, I25.72, I25.73, I25.75, I25.76, I25.79, Z95.1, Z95.5"|"datetime"
